"id","name","kind","category","batch","status","input","implemented_profiles","evidence","remaining"
"bollinger","Bollinger Bands/%B/Bandwidth","indicator","波动与通道","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"donchian","Donchian Channel","indicator","波动与通道","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"keltner","Keltner Channel","indicator","波动与通道","A","原型","ohlcv_or_series","","","目标批次尚未交付"
"historical_vol","Historical Volatility","indicator","波动与通道","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"parkinson","Parkinson Volatility","indicator","波动与通道","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"garman_klass","Garman-Klass Volatility","indicator","波动与通道","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"ulcer","Ulcer Index","indicator","波动与通道","B","待实现","ohlcv_or_series","","","目标批次尚未交付"
"obv","OBV","indicator","量价","A","A1 已实现；Windows 验证通过","ohlcv_with_volume","obv.zero_seed","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"ad","Accumulation/Distribution","indicator","量价","A","A1 已实现；Windows 验证通过","ohlcv_with_volume","ad.cumulative","contracts/expansion-a1.md; evidence/2026-09-03-expansion-a1.md","跨平台和生产验收待做"
"cmf","CMF","indicator","量价","A","原型","ohlcv_with_volume","","","目标批次尚未交付"
"chaikin","Chaikin Oscillator","indicator","量价","A","原型","ohlcv_with_volume","","","目标批次尚未交付"
"mfi","MFI","indicator","量价","A","原型","ohlcv_with_volume","","","目标批次尚未交付"
"efi","Elder Force Index","indicator","量价","A","原型","ohlcv_with_volume","","","目标批次尚未交付"
"emv","Ease of Movement","indicator","量价","B","上游待封装","ohlcv_with_volume","","","目标批次尚未交付"
"kvo","Klinger Volume Oscillator","indicator","量价","B","上游待封装","ohlcv_with_volume","","","目标批次尚未交付"
"vwap","VWAP（会话/滚动/锚定）","indicator","量价","A","待实现","ohlcv_with_volume","","","目标批次尚未交付"
"rvol","Relative Volume","indicator","量价","B","待实现","ohlcv_with_volume","","","目标批次尚未交付"
"stat_stddev","标准差/方差","indicator","滚动统计","A","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_zscore","Z-score","indicator","滚动统计","A","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_linreg","线性回归/斜率","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_corr","滚动相关","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","aligned_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_beta","滚动 Beta","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","aligned_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_percentile","分位数/分位排名","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_skew","偏度","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"stat_kurt","峰度","indicator","滚动统计","B","S1 批量部分实现；指标流式待做","ohlcv_or_series","","contracts/analysis-v1.md","统一指标目录、流式、恢复与专项完整验收待做"
"pattern_01","十字星","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_02","锤头","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_03","倒锤头","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_04","上吊线","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_05","射击之星","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_06","吞没","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_07","孕线","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_08","刺透","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_09","乌云盖顶","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_10","早晨之星","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_11","黄昏之星","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"pattern_12","三兵/三鸦","pattern","形态规则","C","待实现","ohlcv_with_confirmation_time","","","目标批次尚未交付"
"feature_01","已确认峰谷","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_02","Pivot Levels","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_03","支撑阻力区域","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_04","突破识别","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_05","假突破识别","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_06","价格与指标背离","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_07","趋势/震荡状态","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_08","波动状态","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_09","多周期方向一致性","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_10","区间位置","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_11","ATR 标准化距离","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
"feature_12","趋势持续时间","feature","结构与多周期","C","待实现","aligned_features_with_available_at","","","目标批次尚未交付"
